LHR Services,0005-0299(Long Haul),0300-0999(Short Haul),1000-1299(Other),1301-1499(Domestic),8580-8699(Other)
""
LGW Services,2000-2899,8000-8399(Short Haul),8800-8899,,
""
LYC Services,3200-3299,7000-7399,8400-8499,8700-8799,
""
SOU Services,2900-2999,,,,
""
Comair,6200-6499,,,,
""
Special Services,3300-3999,9000-9999,,,
""
Code Shares,1611-1699,4000-4399,4600-6199,,
LHR Long Haul Services
,,BA0282,LAX->LHR,BAW8DS
,,BA0283,LHR->LAX,BAW283
,San Francisco,BA0284,SFO->LHR,"BAW2X, BAW284"
,,BA0285,LHR->SFO,"BAW285, BAW5L"
,,BA0286,SFO->LHR,"BAW6B, BAW286"
,,BA0287,LHR->SFO,"BAW28K, BAW287"
,Phoenix,BA0288,PHX->LHR,"BAW3PB, BAW288"
,,BA0289,LHR->PHX,BAW9CG
,Washington,BA0292,IAD->LHR,BAW29C
,,BA0293,LHR->IAD,BAW293
,Chicago,BA0294,ORD->LHR,"BAW20R, BAW294"
,,BA0295,LHR->ORD,"BAW2PD, BAW295"
,,BA0296,ORD->LHR,"BAW24R, BAW296"
,,BA0297,LHR->ORD,"BAW2WC, BAW297"
LHR Short Haul Services
Country,City,Flight,Route,Call Signs
France,Paris,BA0303,CDG->LHR,"BAW30T, BAW303"
,,BA0304,LHR->CDG,BAW3VH
,,BA0306,LHR->CDG,"BAW4DC, BAW306"
,,BA0307,CDG->LHR,"BAW30N, FIN30N, FIN307"
,,BA0308,LHR->CDG,BAW308
,,BA0309,CDG->LHR,BAW309
Jordan,Amman,BA0312,LHR->AMM,BAW312
,,BA0313,AMM->LHR,BAW313
France,Paris,BA0314,LHR->CDG,"BAW314S, BAW314"
,,BA0315,CDG->LHR,BAW315
,,BA0316,LHR->CDG,"BAW16UP, BAW316"
,,BA0319,CDG->LHR,"BAW319A, BAW319"
,,BA0322,LHR->CDG,"BAW322, BAW3PG"
,,BA0323,CDG->LHR,"BAW323V, BAW323"
,,BA0326,LHR->CDG,BAW326
,,BA0327,CDG->LHR,"BAW327X, BAW327"
,,BA0328,LHR->CDG,"BAW3FP, BAW328"
,,BA0329,CDG->LHR,"BAW32PG, BAW329"
,Nice,BA0341,NCE->LHR,BAW341
,,BA0342,LHR->NCE,"BAW342N, BAW342"
,,BA0343,NCE->LHR,"BAW343E, BAW343"
,,BA0344,LHR->NCE,"BAW34RN, BAW344, BAW34GH"
,,BA0345,NCE->LHR,"BAW33CE, BAW345"
,,BA0346,LHR->NCE,"BAW34XR, BAW346"
,,BA0347,NCE->LHR,"BAW347N, BAW347"
,,BA0348,LHR->NCE,"BAW348K, BAW348"
,,BA0349,NCE->LHR,"BAW39P, BAW349"
,,BA0350,LHR->NCE,"BAW50EC, BAW350"
,,BA0351,NCE->LHR,BAW351
,,BA0352,LHR->NCE,BAW352
,,BA0354,LHR->NCE,"BAW354N, BAW354, BAW345N"
,,BA0355,NCE->LHR,"BAW70CE, BAW355"
,,BA0357,->CGN,SUS357
France,Lyon,BA0358,LHR->LYS,"BAW3AW, BAW358"
,,BA0359,LYS->LHR,"BAW40YL, BAW359"
,,BA0360,LHR->LYS,"BAW41YA, BAW360"
,,BA0361,LYS->LHR,"BAW42Y, BAW361"
,,BA0362,LHR->LYS,BAW362Y
,,BA0363,LYS->LHR,BAW36LU
,,BA0364,LHR->LYS,BAW364
,,BA0365,LYS->LHR,BAW365
,Marseille,BA0366,LHR->MRS,"BAW366U, BAW366"
,,BA0367,MRS->LHR,"BAW16MT, BAW367"
,,BA0368,LHR->MRS,"BAW3HM, BAW368"
,,BA0369,MRS->LHR,"BAW13MR, BAW369"
,Toulouse,BA0372,LHR->TLS,"BAW2DP, BAW372"
,,BA0373,TLS->LHR,"BAW3AK, BAW373"
,,BA0376,LHR->TLS,"BAW6DP, BAW376"
,,BA0377,TLS->LHR,BAW377
,,BA0378,LHR->TLS,"BAW3TV, BAW378"
,,BA0379,TLS->LHR,BAW379
Albania,Tirana,BA0380,LHR->TIA,"FIN73EC, FIN380, BAW380"
,,BA0381,TIA->LHR,"BAW381, FIN87WN, FIN381"
France,Grenoble,BA0382,LHR->GNB,BAW382
,,BA0383,GNB->LHR,BAW383
,,BA0384,LHR->GNB,BAW384
,,BA0385,GNB->LHR,BAW385
Belgium,Brussels,BA0386,LHR->BRU,BAW386
,,BA0387,BRU->LHR,BAW387
,,BA0388,LHR->BRU,"BAW388R, BAW388"
,,BA0391,BRU->LHR,BAW391
,,BA0392,LHR->BRU,"BAW392R, BAW392"
